cdscod;adcod;rank_pesato;rank_position
581;A5810017;3.9;1
581;A5810056;4.5;2
581;A5810130;6.2;3
581;A5810019;7.6;4
581;A5810227;8.6;5
581;A5810012;9.0;6
581;A5810093;9.3;7
581;A5810014;10.0;8
581;A5810064;10.4;9
581;A5810070;10.5;10
E0201Q;E0201Q001;1.9;1
E0201Q;E0201Q059;2.6;2
E0201Q;E0201Q055;3.3;3
E0201Q;E0201Q073;6.7;4
E0201Q;E0201Q065;6.9;5
E0201Q;E0201Q053;7.1;6
E0201Q;E0201Q050;7.4;7
E0201Q;E0201Q075;8.5;8
E0201Q;E0201Q057;9.7;9
E0201Q;E0201Q060;10.9;10
E1301Q;E0201Q012;1.8;1
E1301Q;E0201Q050;2.1;2
E1301Q;E1301Q072;2.6;3
E1301Q;E1301Q011;4.0;4
E1301Q;E0201Q055;4.7;5
E1301Q;E0201Q060;5.1;6
E1301Q;E3201Q084;5.4;7
E1301Q;E0201Q073;5.8;8
E1301Q;E0201Q064;5.8;8
E1301Q;E1301Q009;6.3;9
E1301Q;E1301Q007;7.3;10
E1401A;E1401A039;1.9;1
E1401A;E1401A078;4.2;2
E1401A;E1401A030;4.6;3
E1401A;E1401A081;5.3;4
E1401A;E1401A005;6.3;5
E1401A;E1401A015;6.7;6
E1401A;E1401A082;6.9;7
E1401A;E1401A077;7.6;8
E1401A;E1401A074;7.9;9
E1401A;E1401A040;9.3;10
E1501N;E4001N055;2.2;1
E1501N;E1801M050;2.5;2
E1501N;E1501N001;3.1;3
E1501N;E1801M053;3.1;4
E1501N;E1501N054;3.3;5
E1501N;E1501N065;5.3;6
E1501N;E1501N014;6.4;7
E1501N;E1501N076;6.7;8
E1501N;E1501N080;8.5;9
E1501N;E1501N051;8.7;10
E1601N;E1802M117;1.3;1
E1601N;E3301M181;1.3;1
E1601N;E1801M050;1.3;2
E1601N;E1803M075;1.8;3
E1601N;E1901R084;1.8;3
E1601N;E1601N020;3.2;4
E1601N;E2401P028;4.1;5
E1601N;E1601N049;5.5;6
E1601N;E1601N003;5.8;7
E1601N;E1601N002;6.6;8
E1601N;E1501N080;7.2;9
E1601N;E1801M052;7.5;10
E1801M;E3301M155;2.1;1
E1801M;E3301M190;2.6;2
E1801M;E1801M032;2.7;3
E1801M;E2401P120;5.1;4
E1801M;E1801M039;5.2;5
E1801M;E1802M117;5.5;6
E1801M;E1801M028;6.3;7
E1801M;E1801M048;7.1;8
E1801M;E3301M145;8.7;9
E1801M;E1801M004;8.9;10
E1802M;E3301M140;2.1;1
E1802M;E3301M150;2.7;2
E1802M;E1802M007;3.2;3
E1802M;E1802M119;6.4;4
E1802M;E1802M116;7.4;5
E1802M;E1802M005;7.9;6
E1802M;E1802M033;8.9;7
E1802M;E3301M148;9.6;8
E1802M;E3301M155;10.6;9
E1802M;E1802M125;10.9;10
E1803M;E1803M047;1.3;1
E1803M;E1803M037;2.9;2
E1803M;E1803M051;4.7;3
E1803M;E2004P025;4.7;4
E1803M;E4101B040;5.9;5
E1803M;E1803M041;6.2;6
E1803M;A5810050;6.5;7
E1803M;E1803M059;7.8;8
E1803M;E1803M046;9.0;9
E1803M;E1803M004;9.2;10
E1901R;E2401P029;2.5;1
E1901R;E2001R027;3.1;2
E1901R;E2401P022;3.6;3
E1901R;E1901R020;5.1;4
E1901R;E1901R037;7.3;5
E1901R;E1901R090;7.4;6
E1901R;E1901R005;8.7;7
E1901R;E1901R019;8.9;8
E1901R;E1901R093;9.5;9
E1901R;E1901R089;9.6;10
E2001R;E1901R019;1.4;1
E2001R;E1901R021;1.9;2
E2001R;E3301M183;2.0;3
E2001R;E2004P004;2.1;4
E2001R;E2401P103;2.1;4
E2001R;E2004P013;2.6;5
E2001R;E1801M051;3.7;6
E2001R;E1501N079;4.3;7
E2001R;E1501N081;4.6;8
E2001R;E1901R084;5.4;9
E2001R;E2001R059;5.7;10
E2004P;E2401P119;2.4;1
E2004P;E2401P019;3.5;2
E2004P;E2401P016;4.6;3
E2004P;E2004P013;4.8;4
E2004P;E2401P117;4.9;5
E2004P;E1901R084;5.2;6
E2004P;E2401P026;5.2;6
E2004P;E2004P008;5.4;7
E2004P;E2004P044;6.1;8
E2004P;E2004P004;6.6;9
E2004P;E2401P035;7.6;10
E2401P;E2004P025;1.5;1
E2401P;E2004P028;1.6;2
E2401P;E1301Q067;2.0;3
E2401P;A5810070;2.3;4
E2401P;E2401P001;4.2;5
E2401P;E3101Q103;4.2;5
E2401P;E1901R085;4.5;6
E2401P;E2401P007;4.8;7
E2401P;E2401P109;4.9;8
E2401P;E2401P013;7.9;9
E2401P;E2401P002;8.7;10
E2701Q;E2701Q037;3.7;1
E2701Q;E2701Q036;3.8;2
E2701Q;E2701Q001;3.9;3
E2701Q;E2701Q034;4.1;4
E2701Q;E0201Q055;5.3;5
E2701Q;E2701Q045;5.6;6
E2701Q;E2701Q046;6.2;7
E2701Q;E2701Q035;8.2;8
E2701Q;E3001Q052;8.6;9
E2701Q;E2702Q099;9.4;10
E2702Q;E2702Q106;1.5;1
E2702Q;E2702Q082;2.3;2
E2702Q;E2702Q089;3.3;3
E2702Q;E3401Q017;4.1;4
E2702Q;E2702Q009;5.0;5
E2702Q;E2702Q092;5.7;6
E2702Q;E2702Q001;5.7;6
E2702Q;E2702Q085;7.2;7
E2702Q;E2702Q045;9.2;8
E2702Q;E2702Q101;12.0;9
E2702Q;E2702Q003;12.1;10
E2702Q;E2702Q056;12.1;10
E2702Q;E2702Q099;12.1;10
E3001Q;E3002Q029;1.6;1
E3001Q;E4101B017;1.9;2
E3001Q;E3401Q051;2.1;3
E3001Q;E3001Q055;3.8;4
E3001Q;E3001Q046;5.1;5
E3001Q;E2702Q099;5.1;5
E3001Q;E3001Q054;5.2;6
E3001Q;E3501Q003;5.7;7
E3001Q;E3001Q038;6.4;8
E3001Q;E3501Q062;7.0;9
E3001Q;E3001Q040;7.7;10
E3002Q;E1802M116;1.6;1
E3002Q;E2004P004;1.6;1
E3002Q;E3002Q006;2.8;2
E3002Q;E3002Q032;3.1;3
E3002Q;E3002Q033;3.5;4
E3002Q;E1901R085;4.6;5
E3002Q;E3002Q030;4.8;6
E3002Q;E3002Q028;7.4;7
E3002Q;E1301Q069;7.6;8
E3002Q;E3002Q011;8.2;9
E3002Q;E3002Q034;8.4;10
E3101Q;E3501Q004;1.5;1
E3101Q;E3101Q114;2.8;2
E3101Q;E3101Q101;2.9;3
E3101Q;E3101Q104;5.3;4
E3101Q;E3101Q124;5.3;4
E3101Q;E3101Q103;5.3;4
E3101Q;E3501Q003;5.4;5
E3101Q;E3101Q129;6.3;6
E3101Q;E3001Q040;6.3;7
E3101Q;E3101Q127;7.8;8
E3101Q;E3101Q108;8.3;9
E3101Q;E3101Q100;9.4;10
E3201Q;E0201Q068;2.4;1
E3201Q;E3201Q001;2.6;2
E3201Q;E3401Q053;4.1;3
E3201Q;E3201Q067;4.7;4
E3201Q;E0201Q055;5.0;5
E3201Q;E3201Q069;5.8;6
E3201Q;E3201Q106;6.2;7
E3201Q;E3201Q092;6.7;8
E3201Q;E3201Q073;6.9;9
E3201Q;E3201Q040;8.0;10
E3301M;E4101B018;1.9;1
E3301M;E4102B066;1.9;1
E3301M;E3301M140;2.0;2
E3301M;E3301M131;3.3;3
E3301M;E3301M192;3.9;4
E3301M;E1501N065;4.9;5
E3301M;E3301M128;5.0;6
E3301M;E1801M050;5.2;7
E3301M;E3301M150;5.8;8
E3301M;E3301M097;5.9;9
E3301M;E3301M182;8.7;10
E3401Q;E1301Q059;1.2;1
E3401Q;E2701Q041;1.6;2
E3401Q;E3401Q051;3.9;3
E3401Q;E3401Q055;4.5;4
E3401Q;E3401Q001;4.5;4
E3401Q;E3401Q038;5.1;5
E3401Q;E3401Q036;6.0;6
E3401Q;E3401Q013;6.8;7
E3401Q;E3401Q004;7.2;8
E3401Q;E3401Q002;8.5;9
E3401Q;E3401Q044;8.5;9
E3401Q;E3401Q039;8.7;10
E3501Q;E3001Q054;1.4;1
E3501Q;E3301M159;1.8;2
E3501Q;E3501Q003;4.5;3
E3501Q;E2004P010;5.4;4
E3501Q;E3501Q024;5.4;5
E3501Q;E3901N028;5.7;6
E3501Q;E3101Q117;6.3;7
E3501Q;E2401P065;6.5;8
E3501Q;E3501Q004;6.7;9
E3501Q;E3501Q064;7.1;10
E3901N;E3901N028;1.1;1
E3901N;E3901N003;1.9;2
E3901N;E3901N004;4.6;3
E3901N;E3901N006;4.8;4
E3901N;E3901N031;4.8;5
E3901N;E3901N013;5.1;6
E3901N;E3901N030;6.1;7
E3901N;E3901N008;7.2;8
E3901N;E3901N002;8.2;9
E3901N;E3901N012;8.4;10
E4001N;E2401P026;1.3;1
E4001N;E2401P035;2.9;2
E4001N;A5810046;3.3;3
E4001N;E4001N015;4.1;4
E4001N;E2401P015;5.8;5
E4001N;E1901R087;6.4;6
E4001N;E1401A040;6.8;7
E4001N;E4001N050;7.0;8
E4001N;E4001N059;7.3;9
E4001N;E1901R005;7.9;10
E4101B;E3301M180;1.4;1
E4101B;E3301M097;1.7;2
E4101B;E4101B001;4.0;3
E4101B;E4101B002;4.8;4
E4101B;E2004P038;6.2;5
E4101B;E4101B003;6.4;6
E4101B;E4101B006;7.1;7
E4101B;E4101B023;7.5;8
E4101B;E4101B019;7.6;9
E4101B;E4101B038;8.3;10
E4102B;E4102B002;3.0;1
E4102B;E4102B067;3.4;2
E4102B;E4102B005;3.5;3
E4102B;E4102B006;3.9;4
E4102B;E4102B066;4.6;5
E4102B;E4102B001;5.4;6
E4102B;E4102B004;5.7;7
E4102B;E4102B081;5.8;8
E4102B;E4102B009;6.3;9
E4102B;E4102B054;9.7;10
F0101R;F0101R066;2.2;1
F0101R;F0101R002;2.6;2
F0101R;F0101R006;3.7;3
F0101R;F0101R008;3.8;4
F0101R;F0101R001;5.3;5
F0101R;F0101R068;5.5;6
F0101R;F0101R012;7.0;7
F0101R;F0101R067;7.5;8
F0101R;F0101R010;8.8;9
F0101R;F0101R013;9.4;10
F0601Q;F0802Q064;1.6;1
F0601Q;A5810070;1.9;2
F0601Q;F0601Q061;2.0;3
F0601Q;F0601Q073;2.6;4
F0601Q;F0601Q077;4.4;5
F0601Q;F0601Q050;4.9;6
F0601Q;F0802Q038;6.4;7
F0601Q;F0601Q047;7.7;8
F0601Q;F0601Q066;9.5;9
F0601Q;F0601Q052;9.7;10
F0802Q;F0802Q064;1.5;1
F0802Q;F7501Q020;2.3;2
F0802Q;F0802Q060;3.2;3
F0802Q;F0802Q066;3.5;4
F0802Q;F0802Q043;3.8;5
F0802Q;F0802Q046;4.2;6
F0802Q;F0802Q050;4.3;7
F0802Q;F0802Q059;5.2;8
F0802Q;F0802Q041;6.3;9
F0802Q;F0802Q051;7.5;10
F0901D;F0901D043;1.1;1
F0901D;F0901D046;2.2;2
F0901D;F0901D039;4.1;3
F0901D;F0901D029;4.4;4
F0901D;F0901D044;4.5;5
F0901D;F0901D034;4.7;6
F0901D;F0901D040;5.2;7
F0901D;F0901D045;6.6;8
F0901D;F0901D025;6.7;9
F0901D;F0901D042;7.1;10
F1601M;F5102P019;1.4;1
F1601M;F1601M063;2.6;2
F1601M;F1601M064;3.4;3
F1601M;F1601M056;3.7;4
F1601M;F1601M069;4.5;5
F1601M;F1601M044;4.9;6
F1601M;F1601M055;6.1;7
F1601M;F1601M084;6.8;8
F1601M;F1601M065;8.2;9
F1601M;F1601M058;9.9;10
F1701Q;F0601Q054;2.2;1
F1701Q;F0601Q062;2.2;1
F1701Q;F1701Q116;2.5;2
F1701Q;F1701Q094;4.7;3
F1701Q;F1701Q121;4.9;4
F1701Q;F1701Q082;5.2;5
F1701Q;F1701Q131;5.2;5
F1701Q;F1701Q138;5.2;6
F1701Q;F1701Q127;5.5;7
F1701Q;F1701Q083;6.6;8
F1701Q;F1701Q106;7.0;9
F1701Q;F1701Q096;8.1;10
F1801Q;F1801Q126;1.3;1
F1801Q;F1801Q106;3.2;2
F1801Q;F1801Q103;3.8;3
F1801Q;F1801Q132;4.3;4
F1801Q;F1801Q122;4.8;5
F1801Q;F1801Q120;7.4;6
F1801Q;F1801Q105;8.6;7
F1801Q;F1801Q123;8.9;8
F1801Q;F1801Q110;9.8;9
F1801Q;F1801Q129;9.9;10
F4001Q;F4001Q074;1.4;1
F4001Q;F4001Q094;2.7;2
F4001Q;F4001Q098;2.9;3
F4001Q;F4001Q073;4.2;4
F4001Q;F4001Q082;5.4;5
F4001Q;F4001Q090;5.6;6
F4001Q;F4001Q063;6.5;7
F4001Q;F4001Q065;7.3;8
F4001Q;F4001Q080;7.5;9
F4001Q;F4001Q079;7.7;10
F4901N;F4901N015;2.5;1
F4901N;F4901N075;3.4;2
F4901N;F4901N001;4.1;3
F4901N;F4901N009;4.2;4
F4901N;F4901N071;5.3;5
F4901N;F4901N074;6.3;6
F4901N;F4901N004;6.9;7
F4901N;F4901N003;7.2;8
F4901N;F4901N070;7.2;8
F4901N;F4901N073;8.1;9
F4901N;F4901N013;8.7;10
F5101P;F5103P072;1.4;1
F5101P;F5104P006;1.4;1
F5101P;F5104P011;1.7;2
F5101P;F5101P139;2.2;3
F5101P;F5101P137;4.0;4
F5101P;F5102P015;4.8;5
F5101P;F5101P121;5.6;6
F5101P;F5101P138;5.9;7
F5101P;F5103P006;7.0;8
F5101P;F5101P126;7.1;9
F5101P;F5101P140;7.7;10
F5102P;F5102P017;1.9;1
F5102P;F5701R002;2.0;2
F5102P;F5102P094;4.1;3
F5102P;F5102P014;4.5;4
F5102P;F5102P006;4.7;5
F5102P;F5102P002;4.9;6
F5102P;F5102P005;5.7;7
F5102P;F5102P003;7.3;8
F5102P;F5102P022;7.9;9
F5102P;F5102P001;8.7;10
F5103P;F5103P009;1.0;1
F5103P;F5103P003;3.2;2
F5103P;F5103P072;3.8;3
F5103P;F5103P078;4.4;4
F5103P;F5101P139;4.4;5
F5103P;F5103P002;4.9;6
F5103P;F5103P005;5.7;7
F5103P;F5104P006;5.8;8
F5103P;F5103P066;7.2;9
F5103P;F5103P010;8.8;10
F5104P;F5104P010;1.5;1
F5104P;F5104P003;2.7;2
F5104P;F5104P004;2.9;3
F5104P;F5104P005;4.0;4
F5104P;F5104P002;5.1;5
F5104P;F5104P001;6.2;6
F5104P;F5104P008;7.1;7
F5104P;F5104P013;7.5;8
F5104P;F5104P006;8.0;9
F5104P;F5104P011;8.3;10
F5301Q;F5301Q035;1.5;1
F5301Q;F5301Q001;2.1;2
F5301Q;F5301Q011;3.1;3
F5301Q;F5301Q024;3.1;4
F5301Q;F5401Q054;3.6;5
F5301Q;F5301Q028;5.3;6
F5301Q;F5301Q008;5.4;7
F5301Q;F5301Q033;6.4;8
F5301Q;F5301Q032;6.5;9
F5301Q;F5301Q030;6.5;9
F5301Q;F5301Q013;6.8;10
F5401Q;F0601Q058;1.1;1
F5401Q;F5401Q044;1.2;2
F5401Q;F5401Q027;2.2;3
F5401Q;F5401Q018;3.3;4
F5401Q;F5401Q024;4.4;5
F5401Q;F5401Q017;6.1;6
F5401Q;F5401Q019;6.7;7
F5401Q;F5401Q048;8.0;8
F5401Q;F5401Q026;8.1;9
F5401Q;F5401Q028;8.6;10
F5602M;F5602M004;2.2;1
F5602M;F5602M014;3.2;2
F5602M;F5602M001;4.3;3
F5602M;F5602M003;5.0;4
F5602M;F5602M016;5.2;5
F5602M;F5602M008;5.6;6
F5602M;F5602M012;6.1;7
F5602M;F5602M007;7.0;8
F5602M;F5602M017;7.7;9
F5602M;F5602M005;7.9;10
F5701R;F9201P201;1.5;1
F5701R;F5701R002;3.5;2
F5701R;F5701R005;3.8;3
F5701R;F5701R006;4.4;4
F5701R;F5701R009;5.6;5
F5701R;F5701R030;6.2;6
F5701R;F5701R003;7.1;7
F5701R;F5701R023;8.0;8
F5701R;F5701R011;8.4;9
F5701R;A5810128;9.5;10
F5701R;F5701R010;9.5;10
F5801Q;F8501R031;1.4;1
F5801Q;F1701Q129;1.5;2
F5801Q;F5801Q045;2.9;3
F5801Q;F5801Q043;3.2;4
F5801Q;F5801Q044;3.2;4
F5801Q;F5801Q018;3.5;5
F5801Q;F5801Q040;3.8;6
F5801Q;F5801Q015;3.9;7
F5801Q;F5801Q046;4.0;8
F5801Q;F5801Q023;4.8;9
F6302N;F7702M043;1.1;1
F6302N;F6302N014;2.0;2
F6302N;F8801N045;2.6;3
F6302N;F6302N001;3.1;4
F6302N;F5102P014;4.6;5
F6302N;F6302N006;5.6;6
F6302N;F6302N022;5.7;7
F6302N;A5810032;5.7;8
F6302N;F6302N015;7.2;9
F6302N;F7601M012;8.5;10
F7401Q;F7501Q004;2.1;1
F7401Q;F7501Q080;2.1;1
F7401Q;F7401Q089;2.7;2
F7401Q;F7401Q001;3.8;3
F7401Q;F7401Q082;3.9;4
F7401Q;F7502Q011;4.2;5
F7401Q;F7401Q002;4.4;6
F7401Q;F7502Q006;5.2;7
F7401Q;F7401Q078;5.5;8
F7401Q;F7401Q055;6.6;9
F7401Q;F7401Q071;7.0;10
F7501Q;F7501Q004;1.7;1
F7501Q;F5401Q049;2.1;2
F7501Q;F7501Q085;4.3;3
F7501Q;F7501Q086;4.4;4
F7501Q;F7501Q076;6.0;5
F7501Q;F7501Q046;6.5;6
F7501Q;F7501Q087;8.1;7
F7501Q;F7501Q089;8.3;8
F7501Q;F7501Q047;9.1;9
F7501Q;F7501Q040;9.1;9
F7501Q;F7501Q074;10.4;10
F7502Q;F7502Q005;1.2;1
F7502Q;F7502Q016;3.9;2
F7502Q;F7502Q003;4.0;3
F7502Q;F7502Q013;4.0;4
F7502Q;F7502Q004;4.1;5
F7502Q;F7502Q021;4.2;6
F7502Q;F7502Q006;5.3;7
F7502Q;F7502Q012;5.3;8
F7502Q;F7502Q001;5.5;9
F7502Q;F7502Q002;8.2;10
F7601M;F7601M075;2.0;1
F7601M;F7601M052;2.5;2
F7601M;F7601M056;3.6;3
F7601M;F7601M050;5.0;4
F7601M;F7601M058;5.5;5
F7601M;F7601M051;5.5;6
F7601M;F7601M053;6.0;7
F7601M;F7601M005;6.9;8
F7601M;F7601M011;8.0;9
F7601M;F7701M097;8.3;10
F7701M;F7702M046;1.8;1
F7701M;F7701M080;2.0;2
F7701M;F7701M082;4.0;3
F7701M;F7701M027;4.7;4
F7701M;F7702M047;6.9;5
F7701M;F7701M097;7.2;6
F7701M;F7701M077;7.3;7
F7701M;F7701M052;8.2;8
F7701M;F7701M023;9.8;9
F7701M;F7701M054;10.6;10
F7702M;F5701R004;1.4;1
F7702M;F1601M055;1.7;2
F7702M;F7702M057;2.0;3
F7702M;F7702M044;2.8;4
F7702M;F7702M043;4.2;5
F7702M;F7702M017;4.5;6
F7702M;F5102P017;4.5;6
F7702M;F7702M042;6.6;7
F7702M;F7702M055;7.5;8
F7702M;F7702M048;7.9;9
F7702M;F9201P203;8.8;10
F8203B;F8203B030;1.3;1
F8203B;F8203B006;2.3;2
F8203B;F8203B003;3.2;3
F8203B;F8203B028;4.9;4
F8203B;F8203B011;5.3;5
F8203B;F8203B005;6.5;6
F8203B;F8203B008;7.4;7
F8203B;F8203B027;7.6;8
F8203B;F8203B019;8.1;9
F8203B;F8203B010;8.7;10
F8204B;F8204B002;2.0;1
F8204B;F8204B010;2.4;2
F8204B;F8204B006;3.6;3
F8204B;F8204B005;4.1;4
F8204B;F8204B024;4.5;5
F8204B;F8204B015;5.8;6
F8204B;F8204B004;7.0;7
F8204B;F8204B021;9.2;8
F8204B;F8204B014;10.9;9
F8204B;F8204B008;11.9;10
F8501R;F8501R022;1.3;1
F8501R;F8501R001;2.5;2
F8501R;F8501R056;3.9;3
F8501R;F8501R008;4.4;4
F8501R;F8501R010;5.5;5
F8501R;F8501R009;6.8;6
F8501R;F8501R024;7.2;7
F8501R;F8501R021;7.8;8
F8501R;F8501R011;8.3;9
F8501R;F8501R005;9.1;10
F8701N;F8701N035;1.5;1
F8701N;F8701N044;2.1;2
F8701N;F8701N008;3.6;3
F8701N;F8701N006;3.7;4
F8701N;F8701N002;6.3;5
F8701N;F8701N001;6.6;6
F8701N;F8701N039;6.7;7
F8701N;F8701N010;7.2;8
F8701N;F8701N045;7.5;9
F8701N;F8701N043;7.6;10
F8801N;F8701N035;1.4;1
F8801N;F8501R022;3.0;2
F8801N;F8801N041;3.3;3
F8801N;F8801N016;4.2;4
F8801N;F8801N037;4.6;5
F8801N;F8801N001;4.9;6
F8801N;F8801N042;5.4;7
F8801N;F8801N038;5.6;8
F8801N;F8801N009;6.4;9
F8801N;F8801N003;6.6;10
F9201P;F9201P009;2.2;1
F9201P;F9201P204;3.3;2
F9201P;F9201P004;4.2;3
F9201P;F9201P200;4.3;4
F9201P;F9201P202;4.8;5
F9201P;F9201P039;5.3;6
F9201P;E2004P037;6.9;7
F9201P;F9201P008;7.3;8
F9201P;F9201P100;7.8;9
F9201P;F9201P033;8.3;10
G8501R;G8501R012;1.5;1
G8501R;G8501R037;2.9;2
G8501R;G8501R006;2.9;3
G8501R;G8501R036;5.1;4
G8501R;G8501R004;5.4;5
G8501R;G8501R023;6.4;6
G8501R;G8501R041;7.4;7
G8501R;G8501R017;8.2;8
G8501R;G8501R005;8.7;9
G8501R;G8501R018;9.4;10
H4101D;H4101D253;2.0;1
H4101D;H4101D003;2.1;2
H4101D;H4101D039;3.0;3
H4101D;H4101D040;3.2;4
H4101D;H4101D205;7.1;5
H4101D;H4101D021;7.2;6
H4101D;H4101D018;8.5;7
H4101D;H4101D002;9.0;8
H4101D;H4101D004;9.3;9
H4101D;H4101D013;9.3;9
H4101D;H4101D033;10.1;10
H4601D;H4601D016;1.2;1
H4601D;H4601D001;2.0;2
H4601D;H4601D002;3.7;3
H4601D;H4601D017;5.6;4
H4601D;H4601D004;5.9;5
H4601D;H4601D005;6.0;6
H4601D;H4601D015;6.1;7
H4601D;H4601D066;8.1;8
H4601D;H4601D012;9.2;9
H4601D;H4601D006;9.9;10
I0101D;I0101D001;1.7;1
I0101D;I0101D004;2.1;2
I0101D;I0101D009;3.9;3
I0101D;I0101D011;4.9;4
I0101D;I0101D016;5.3;5
I0101D;I0101D015;6.6;6
I0101D;I0101D901;6.6;6
I0101D;I0101D006;6.9;7
I0101D;I0101D025;8.2;8
I0101D;I0101D012;8.8;9
I0101D;I0101D007;10.1;10
I0102D;LING;1.7;1
I0102D;I0102D001;2.3;2
I0102D;I0102D007;4.0;3
I0102D;I0102D004;4.5;4
I0102D;I0102D013;5.1;5
I0102D;I0102D902;5.6;6
I0102D;I0102D016;6.5;7
I0102D;I0102D903;6.9;8
I0102D;I0102D005;7.1;9
I0102D;I0102D010;7.9;10
I0201D;I0201D100;1.4;1
I0201D;I0201D121;3.5;2
I0201D;I0201D101;4.1;3
I0201D;I0201D103;5.1;4
I0201D;I0201D115;5.5;5
I0201D;I0201D122;5.8;6
I0201D;I0201D109;7.0;7
I0201D;I0201D110;7.4;8
I0201D;I0201D117;7.7;9
I0201D;I0201D111;8.1;10
I0202D;LING;1.3;1
I0202D;I0202D101;2.1;2
I0202D;I0202D121;2.6;3
I0202D;I0202D005;3.3;4
I0202D;I0202D118;4.3;5
I0202D;I0202D103;5.1;6
I0202D;I0202D120;6.9;7
I0202D;I0202D113;7.8;8
I0202D;I0202D109;7.9;9
I0202D;I0202D119;8.2;10
I0301D;I0301D001;1.0;1
I0301D;I0301D003;1.9;2
I0301D;I0301D002;2.8;3
I0301D;I0301D007;4.0;4
I0301D;I0301D015;5.0;5
I0301D;I0301D013;5.3;6
I0301D;I0301D004;6.2;7
I0301D;I0301D031;6.3;8
I0301D;I0301D010;8.2;9
I0301D;I0301D008;8.5;10
I0302D;I0302D003;2.1;1
I0302D;I0302D001;2.4;2
I0302D;LING;2.7;3
I0302D;I0302D009;4.0;4
I0302D;I0302D002;4.0;4
I0302D;I0302D011;5.5;5
I0302D;I0302D005;6.3;6
I0302D;I0302D008;6.5;7
I0302D;I0302D007;7.2;8
I0302D;I0302D015;7.6;9
I0302D;I0302D019;8.4;10
I0303D;I0303D001;1.0;1
I0303D;I0303D003;2.3;2
I0303D;I0303D006;3.5;3
I0303D;I0303D002;3.9;4
I0303D;I0303D007;4.2;5
I0303D;I0303D008;6.5;6
I0303D;I0303D015;7.3;7
I0303D;I0303D011;7.3;7
I0303D;I0303D005;7.6;8
I0303D;I0303D012;7.9;9
I0303D;I0303D014;8.3;10
K0101D;K0101D014;1.2;1
K0101D;K0101D009;3.5;2
K0101D;K0101D002;3.6;3
K0101D;K0101D012;3.8;4
K0101D;K0101D001;4.6;5
K0101D;K0101D010;4.9;6
K0101D;K0101D006;6.9;7
K0101D;K0101D003;7.2;8
K0101D;K0101D011;7.2;9
K0101D;K0101D008;8.0;10
